French,Turkish
Frère,Abi
Sœur aînée,Abla
Je me demande,Acaba
Angle,Acı
Ouvrir,Açık
Avoir faim,Acıkmak
Urgent,Acil
Ouvrir,Açmak
Nom,Ad
Homme,Adam
Pièce,Adet
Mon nom,Adım
Adresse,Adres
Arbre,Ağaç
Lourd,Ağır
Bouche,Ağız
Pleurer,Ağlamak
Famille,Aile
Pensée,Akıl
Intelligent,Akıllı
Flux,Akmak
soirée,Akşam
Zone,Alan
S'habituer à,Alışmak
Achats,Alışveriş yapmak
Dieu,Allah
Prendre,Almak
Six,Altı
Or,Altın
Soixante,Altmış
Mais,Ama
Avoir pour but,Amaç
Oncle,Amca
Moment,An
Sens,Anlam
Comprendre,Anlamak
Se faire comprendre,Anlaşılmak
Raconter,Anlatmak
Maman,Anne
Appartement,Apartman
Auto,Araba
Véhicule,Araç
Décembre,Aralık
Rechercher,Aramak
Rechercher,Araştırmak
Abeille,Arı
ami,Arkadaş
Poire,Armut
Maintenant,Artık
Augmenter,Artmak
Royal,Asıl
Extrême,Aşırı
l'amour,Aşk
Soldat,Asker
jamais,Asla
Réellement,Aslında
Cheval,At
Feu,Ateş
Saut,Atlamak
Lancer,Atmak
Lune,Ay
Le pied,Ayak
Chaussures,Ayakkabı
Ours,Ayı
Séparer,Ayırmak
Miroiter,Ayna
même,Aynı
Séparé,Ayrı
Quitter,Ayrılmak
Peu,Az
Père,Baba
Jambe,Bacak
Crier,Bağırmak
Connecter,Bağlamak
Jardin,Bahçe
Ministre,Bakan
Voir,Bakış
Voir,Bakmak
Le poisson,Balık
Banque,Banka
Bande,Bant
Salle de bains,Banyo
Un verre,Bardak
Paix,Barış
Diriger,Baş
Succès,Başarı
Simple,Basit
Autre,Başka
Ministre,Başkan
Oppression,Baskı
Commencer,Başlamak
Imprimer,Basmak
Ouest,Batı
Évier,Batmak
Couverture,Battaniye
Drapeau,Bayrak
Fête,Bayram
Parfois,Bazen
Certains,Bazı
De bébé,Bebek
Libérer,Bedava
Corps,Beden
Comme,Beğenmek
Seul,Bekâr
Attendre,Beklemek
Taille,Bel
Conseil,Belediye
Document,Belge
peut être,Belki
Dégager,Belli
Ressembler,Benzemek
De l'essence,Benzin
Ensemble,Beraber
Cinq,Beş
Gentleman,Bey
Blanc,Beyaz
Cerveau,Beyin
Chiffon,Bez
Couteau,Bıçak
Format,Biçim
Billet,Bilet
Informations,Bilgi
L'ordinateur,Bilgisayar
La science,Bilim
À savoir,Bilmek
Mille,Bin
Imeuble,Bina
Pour aller,Binmek
UN,Bir
Quitter,Bırakmak
Certains,Biraz
Beaucoup,Birçok
Quelqu'un,Biri
Première,Birinci
Quelqu'un,Birisi
Quelques,Birkaç
Ensemble,Birlikte
Finir,Bitirmek
Herbe,Bitki
Finir,Bitmek
Punaise,Böcek
Gorge,Boğaz
Zone,Bölge
Zone,Bölge
Diviser,Bölmek
Section,Bölüm
Tuyau,Boru
Nul,Boş
Décharge,Boşaltmak
Divorcer,Boşanmak
Taille,Boy
Peindre,Boyamak
Cou,Boyun
Cassé,Bozuk
Être brisé,Bozulmak
Aujourd'hui,Bugün
Trouver,Bulmak
Rencontrer,Buluşmak
Ici,Burada
Ici,Burası
Nez,Burun
Tous,Bütün
Gros,Büyük
Se développer,Büyümek
Rapide,Çabuk
Rue,Cadde
Appeler,Çağırmak
Travail,Çalışmak
Jouer,Çalmak
Pin,Cam
Lin,Çamaşır
Mosquée,Cami
Cloche,Can
Vivant,Canlı
Sac,Çanta
Bosse,Çarpmak
Mercredi,Çarşamba
Fourchette,Çatal
Thé,Çay
Bouilloire,Çaydanlık
Tirer,Çekmek
Trier,Çeşit
Réponse,Cevap vermek
Changer en,Çevirmek
Environnement,Çevre
Trimestre,Çeyrek
Châtiment,Ceza
Fleur,Çiçek
Sérieuse,Ciddi
Couple,Çift
Fermier,Çiftçi
Appareil,Cihaz
Soustraire,Çıkarmak
Sortir,Çıkmak
Moche,Çirkin
La ligne,Çizgi
Enfant,Çocuk
Beaucoup,Çok
Chaussette,Çorap
Résoudre,Çözmek
Solution,Çözüm
Vendredi,Cuma
Samedi,Cumartesi
Phrase,Cümle
car,Çünkü
Montagne,Dağ
Moins,Daha az
Suite,Daha çok
Appartement,Daire
Minute,Dakika
Laissez tomber,Damla
Dansant,Dans etmek
Inviter,Davet etmek
Comportement,Davranış
Se comporter,Davranmak
À résister,Dayanmak
Carnet,Defter
Évaluer,Değer
Pas,Değil
En changeant,Değişmek
Changer,Değiştirmek
Trou,Delik
Moyens,Demek
Essayer,Denemek
Solde,Denge
mer,Deniz
Tremblement de terre,Deprem
Diplôme,Derece
Peau,Deri
Profond,Derin
leçon,Ders
Soutien,Destek
Continuez,Devam etmek
État,Devlet
Autre,Diğer
Tremper,Dik
Faire attention,Dikkat etmek
Langue,Dil
La religion,Din
Écouter,Dinlemek
Se reposer,Dinlenmek
Relancer,Dirilmek
Dent,Diş
Le genou,Diz
Naturel,Doğal
Gaz naturel,Doğal gaz
Être né,Doğmak
vrai,Doğru
Est,Doğu
Quatre vingt dix,Doksan
Docteur,Doktor
Neuf,Dokuz
Armoire,Dolap
Flâner,Dolaşmak
Remplir,Doldurmak
Complet,Dolu
Glace,Dondurma
Période,Dönem
Rotatif,Döner
Revenir,Dönmek
Quatre,Dört
Ami,Dost
Dossier,Dosya
Monnaie étrangère,Döviz
Mariage,Düğün
Magasin,Dükkan
Fumée,Duman
Hier,Dün
Monde,Dünya
Arrêter,Durmak
Situation,Durum
Situation,Dürüm
Prendre une douche,Duş almak
Tomber,Düşmek
Idée,Düşünce
Pense,Düşünmek
Mur,Duvar
Émotion,Duygu
Écouter,Duymak
Appartement,Düz
Changer,Düzeltmek
Organiser,Düzenlemek
Éducation,Eğitim
Supplémentaire,Ek
Octobre,Ekim
Ajouter,Eklemek
Pain,Ekmek
Économie,Ekonomi
Manquant,Eksik
Main,El
certainement,Elbette
Gant,Eldiven
Électricité,Elektrik
Ouvrier,Eleman
Cinquante,Elli
Pomme,Elma
À la retraite,Emekli
Sûr,Emin
Agent immobilier,Emlakçı
Plus,En
Énergie,Enerji
Inflation,Enflasyon
Obstacle,Engel
désactivé,Engelli
Fondre,Erimek
Homme,Erkek
De bonne heure,Erken
Conjoint,Eş
Même,Eşit
Vieille,Eski
Auparavant,Eskiden
Meubles,Eşya
Moi à,Et
Effet,Etki
Influence,Etkilemek
Faire,Etmek
maison,Ev
Héberger,Ev sahibi
Oui,Evet
Se marier,Evlenmek
Le marié,Evli
Septembre,Eylül
Usine,Fabrika
Mais,Fakat
Pauvre,Fakir
Bla bla,Falan filan
Souris,Fare
Différence,Fark
Remarquer,Fark etmek
Cela n'a pas d'importance,Farketmez
Différent,Farklı
Suite,Fazla
Idée,Fikir
Film,Film
Tasse,Fincan
Occasion,Fırsat
Reçu,Fiş
Prix,Fiyat
Photographier,Fotoğraf
Je suppose,Galiba
Très,Gayet
Gaz,Gaz
Journal,Gazete
En retard,Geç
Être en retard,Geç kalmak
nuit,Gece
Dernière,Geçen
Temporaire,Geçici
Pour passer,Geçmek
Passé,Geçmiş
Futur,Gelecek
Tradition,Gelenek
Revenu,Gelir
Venir,Gelmek
Jeunesse,Genç
De nouveau,Gene
Général,Genel
Généralement,Genellikle
Grande,Geniş
Réel,Gerçek
Vraiment,Gerçekten
Nécessaire,Gerekli
Exiger,Gerekmek
Revenir,Geri gelmek
Redonner,Geri vermek
Apporter,Getirmek
Errer,Gezmek
Comme,Gibi
nourriture,Gıda
Connexion,Giriş
Entrer,Girmek
Aller,Gitmek
Porter,Giymek
Vêtements,Giysi
Caché,Gizli
Estomac,Göbek
Immigrant,Göçmen
Ciel,Gök
But,Göl
Envoyer,Göndermek
cœur,Gönül
Devoir,Görev
Voir,Görmek
Sembler,Görünmek
Rencontrer,Görüşmek
Montrer,Göstermek
À emporter,Götürmek
Cil,Göz
Des lunettes,Gözlük
Gris,Gri
Grippe,Grip
Groupe,Grup
Force,Güç
Fort,Güçlü
Au revoir,Güle güle
Rire,Gülmek
Le sourire,Gülümsemek
Argent,Gümüş
Jour,Gün
Péché,Günah
Soleil,Güneş
Sud,Güney
Confiance,Güven
Sécurité,Güvenlik
Confiance,Güvenmek
Magnifique,Güzel
Nouvelles,Haber
Allez,Hadi
Lumière,Hafif
La semaine,Hafta
Weekend,Hafta sonu
Juge,Hâkim
Droite,Haklı
Statut,Hal
Toujours,Hâlâ
État,Halı
Personnes,Halk
Hamburger,Hamburger
Lequel,Hangi
Femme,Hanım
Prison,Hapishane
Dépenser,Harcamak
Mouvement,Hareket
Formidable,Harika
Carte,Harita
Patient,Hasta
Hôpital,Hastane
Erreur,Hata
Se souvenir,Hatırlamak
Temps,Hava
Aéroport,Havaalanı
Serviette,Havlu
Piscine,Havuz
Imaginer,Hayal etmek
Vie,Hayat
Non,Hayır
Animal,Hayvan
zoo,Hayvanat bahçesi
Prêt,Hazır
Juin,Haziran
Avoir pour but,Hedef
Cadeau,Hediye
Maintenant,Hemen
Encore,Henüz
Toujours,Hep
Tous,Hepsi
Chaque,Her
Tous les jours,Her gün
Tout,Her şey
N'importe quand,Her zaman
Je suppose,Herhalde
Quelconque,Herhangi
Toutes les personnes,Herkes
Compte,Hesap
Calculatrice,Hesap makinası
Être excité,Heyecanlanmak
Excité,Heyecanlı
Non,Hiçbir
Récit,Hikâye
Ironon,Hırdavatçı
Sentir,Hissetmek
Rapide,Hızlı
Servir,Hizmet etmek
Prof,Hoca
Agréable,Hoş
Culte,İbadet
Boire,İçecek
Boire,İçmek
Aiguille,İğne
Besoin,İhtiyaç
Deux,İki
S'adresser,İkram etmek
Province,İl
Médicament,İlaç
District,İlçe
L'intérêt,İlgi
Intéressant,İlginç
Relation amoureuse,İlişki
Première,İlk
Printemps,İlkbahar
Impossible,İmkânsiz
Signature,İmza
La croyance,İnanç
Croire,İnanmak
Mince,İnce
Rabais,İndirim
Vache,İnek
Anglais,İngilizce
Descendre,İnmek
Construire,İnşaat
Humain,İnsan
l'Internet,İnternet
Corde,İp
Annuler,İptal etmek
travail  ,İş
Employé,İşçi
Lumière,Işık
Nom,İsim
Mouiller,Islak
Processus,İşlem
Vouloir,İstemek
Bon   ,İyi
Autorisation,İzin
Pour donner la permission,İzin vermek
Regarder,İzlemek
Grossier,Kaba
Câble,Kablo
Accepter,Kabul etmek
Combien,Kaç
Pour échapper à,Kaçmak
Jusqu'à ce que,Kadar
Femme,Kadın
Diriger,Kafa
Papier,Kâğıt
héros,Kahraman
Déjeuner,Kahvaltı
Café,Kahve
Marron,Kahverengi
Encombré,Kalabalık
Ramasser,Kaldırmak
Crayon,Kalem
Permanent,Kalıcı
Épais,Kalın
Qualité,Kalite
Se lever,Kalkmak
Rester,Kalmak
Cœur,Kâlp
Sang,Kan
Canal,Kanal
Canapé,Kanepe
Loi,Kanun
Couvercle,Kapak
Fermer,Kapatmak
Porte,Kapı
Sombre,Karanlık
Decider,Karar vermek
Frère,Kardeş
Épouse,Karı
Votre femme,Karın
Pour mélanger,Karıştırmak
Contre,Karşı
Carte,Kart
Jusqu'à,Kasa
Ville,Kasaba
Aine,Kaşık
Novembre,Kasım
Étage,Kat
Joindre,Katılmak
Intersection,Kavşak
Rocher,Kaya
Perdre,Kaybetmek
Enregistrer,Kayıt
Crème,Kaymak
Source,Kaynak
Accident,Kaza
Gagner,Kazanmak
Kebab,Kebab
Chèvre,Keçi
Chat,Kedi
Mot,Kelime
Bord,Kenar
Ville,Kent
Être coupé,Kesilmek
Précis,Kesin
Absolument,Kesinlikle
Couper,Kesmek
Gentil,Kibar
Épée,Kılıç
Tapis,Kilim
Serrure,Kilitlemek
Se réconcilier,Kılmak
Kilo,Kilo
Kilomètre,Kilometre
Qui,Kim
Identité,Kimlik
Quarante,Kırk
Sale,Kirli
Rouge,Kırmızı
Hiver,Kış
Court,Kısa
La personne,Kişi
Partie,Kısım
Livre,Kitap
Fille,Kız
Fille,Kız çocuk
Sœur,Kız kardeş
Éteindre,Kızarmak
En colère,Kızgın
Mari,Koca
Sentir,Koku
Bras,Kol
Montre,Kol saati
Facile,Kolay
Siège,Koltuk
Chaudière,Kombi
Bande dessinée,Komik
Vérifier,Kontrol etmek
Sujet,Konu
Parlez,Konuşmak
Chien,Köpek
Aveugle,Kör
Curry,Köri
Couloir,Koridor
Être effrayé,Korkmak
Protéger,Korumak
Coin,Köşe
Courir,Koşmak
Mal,Kötü
Mal,Kötülük
Baie,Köy
Mettre,Koymak
Sombre,Koyu
Le mouton,Koyun
Roi,Kral
Crédit,Kredi
Crise,Kriz
Petit,Küçük
Oreille,Kulak
Utiliser,Kullanmak
Culture,Kültür
Annuel,Kum
Contrôler,Kumanda
Biscuit,Kurabiye
Règle,Kural
La grenouille,Kurbağa
Sacrifice,Kurban etmek
Créer,Kurmak
Kurde,Kurt
Sauver,Kurtarmak
Être sauvé,Kurtulmak
Sec,Kuru
Oiseau,Kuş
Je suis désolé,Kusura bakma
Parfait,Kusursuz
Célébrer,Kutlamak
Boîte,Kutu
Nord,Kuzey
Mot,Laf
Pneu,Lastik
Évier,Lavabo
Obligatoire,Lâzım
Savoureux,Lezzetli
Leader,Lider
Citron,Limon
Lire,Lira
Lycée,Lise
Luxe,Lüks
S'il vous plaît,Lütfen
Correspondre,Maç
Question,Madde
Centre commercial,Mağaza
Quartier,Mahalle
Machine,Makine
Marchandises,Mal
Matériel,Malzeme
Logique,Mantık
Voir,Manzara
Marque,Marka
Mars,Mart
Tableau,Masa
Bleu,Mavi
Maya,Maya
Peut,Mayıs
Conseil,Meclis
Médias,Medya
Lettre,Mektup
Patrie,Memleket
Être curieux,Merak etmek
Escaliers,Merdiven
Bonjour,Merhaba
Centre,Merkez
Distance,Mesafe
Message,Mesaj
par exemple,Mesela
Publier,Mesele
Métier,Meslek
Métal,Metal
Mètre,Metre
Mètre carré,Metre kare
Carré,Meydan
Fruit,Meyve
Estomac,Mide
Quantité,Miktar
Personnes,Millet
Milliard,Milyar
Million,Milyon
Patrimoine,Miras
Invité,Misafir
Le maïs sucré,Mısır
Violet,Mor
Gestionnaire,Müdür
Bougie,Mum
Possible,Mümkün
Libérer,Müsait
Client,Müşteri
Cuisine,Mutfak
Absolument,Mutlaka
Content,Mutlu
Malheureux,Mutsuz
Musique,Müzik
En espèces,Nakit
Comment   ,Nasıl
Quoi,Ne
Pourquoi donc,Neden
Souffle,Nefes almak
Rivière,Nehir
où?,Nerede
Presque,Neredeyse
Rapporter,Net
De toute façon,Neyse
Avril,Nisan
Engagé,Nişanlı
Pourquoi                          ,Niye
Garder,Nöbetçi
Point,Nokta
Normal,Normal
En temps normal,Normalde
Nombre,Numara
Glouton,Öbür
Janvier,Ocak
Salle,Oda
Payer,Ödemek
Bois,Odun
Étudiant,Öğrenci
Apprendre,Öğretmek
Prof,Öğretmen
Fils,Oğul
L'école,Okul
Lire,Okumak
Océan,Okyanus
Événement,Olay
De plus en plus,Oldukça
Tuer,Öldürmek
Être,Olmak
Mourir,Ölmek
Décès,Ölüm
c'est possible,Olur
De face,On
Approuver,Onaylamak
Avant,Önce
Important,Önemli
Forêt,Orman
par exemple,Örneğin
Exemple,Örnek
Milieu,Orta
Partenaire,Ortak
Araignée,Örümcek
Herbe,Ot
Hôtel,Otel
Bus,Otobüs
Auto,Otomobil
S'asseoir,Oturmak
Trente,Otuz
Récit,Öykü
comme ça,Öyle
Jouer,Oynamak
Le jeu,Oyun
Jouet,Oyuncak
Spécial,Özel
Surtout,Özellikle
Libérer,Özgür
Manquer,Özlemek
Pardon,Özür dilerim
Coûteux,Pahalı
Coton,Pamuk
Pantalon,Pantolon
De l'argent,Para
Pièce,Parça
Doigt,Parmak
Fête,Parti
Pâtisserie,Pastane
Éclatement,Patlamak
Aubergine,Patlıcan
Chef,Patron
Partager,Paylaşmak
marché,Pazar
Lundi,Pazartesi
Beaucoup,Pek
Très bien,Peki
Rose,Pembe
La fenêtre,Pencere
Rideau,Perde
Jeudi,Perşembe
En avance,Peşin
Le regret,Pişman
Plan,Plan
Police,Polis
Orange,Portakal
Problème,Problem
Programme,Program
Projet,Proje
Point,Puan
Confortable,Rahat
Refuser,Reddetmek
Publicité,Reklam
Couleur,Renk
Photo,Resim
Âme,Ruh
Rêver,Rüya
Vent,Rüzgâr
Heure,Saat
Matin,Sabah
Patient,Sabırlı
Savon,Sabun
Cheveux,Saç
Simple,Sade
Seul,Sadece
S'assurer,Sağlamak
Santé,Sağlık
remercier,Sağol
Propriétaire,Sahip
Ne pas,Sakin
Cacher,Saklamak
Concombre,Salatalık
Mardi,Salı
Le salon,Salon
De l'art,Sanat
Chaise,Sandalye
Seconde,Saniye
Comme si,Sanki
Penser,Sanmak
Chance,Şans
Casquette,Şapka
Jaune,Sarı
Charge,Şarj
Chanson,Şarkı
Devoir,Şart
Achat,Satın almak
Vendre,Satmak
Guerre,Savaş
Page,Sayfa
Respect,Saygı
Nombre,Sayı
Raison,Sebep
Légume,Sebze
Voter,Seçim
Choisir,Seçmek
Ville,Şehir
Table basse,Sehpa
Bonbons,Şeker
Forme,Şekil
Huit,Sekiz
Quatre-vingts,Seksan
Année,Sene
Corbeille,Sepet
Libérer,Serbest
Difficile,Sert
Un service,Servis
Du son,Ses
Du son,Ses kaydı yapmak
L'amour,Sevgi
Réjouir,Sevinmek
Aimer,Sevmek
Chose,Şey
Montre,Seyretmek
Chaud,Sıcak
Mot de passe,Şifre
Cigarette,Sigara
Assurance,Sigorta
Poésie,Şiir
Se plaindre,Şikayet etmek
S'ennuyer,Sıkılmak
Difficulté,Sıkıntı
Arme,Silah
Supprimer,Silmek
Maintenant,Şimdi
Push-up,Sınav
Voler,Sinek
Classer,Sınıf
Frontière,Sınır
Se mettre en colère,Sinirlenmek
Commander,Sipariş vermek
Pupitre,Sıra
Le vinaigre,Sirke
Société,Şirket
Dos,Sırt
Bouteille,Şişe
Système,Sistem
Liquide,Sıvı
Noir,Siyah
Politique,Siyaset
Du froid,Soğuk
Discuter,Sohbet etmek
Rue,Sokak
Piqûre,Sokmak
La gauche,Sol
Finir,Son
L'automne,Sonbahar
Puis,Sonra
Pour toujours,Sonsuz
Conclusion,Sonuç
Demander,Sormak
Question,Soru
Problème,Sorun
Sos,Sos
Social,Sosyal
Faire sauter,Sote
Dire,Söylemek
Promesse,Söz
Faire du sport,Spor yapmak
Cette,Su
Février,Şubat
Crime,Suç
Présenter,Sunmak
Soupçon,Şüphe
Durée,Süre
Continuellement,Sürekli
Se propager,Sürmek
Surprendre,Sürpriz
Chauffeur,Sürücü
La soif,Susamak
Lait,Süt
Plaque,Tabak
Bien sûr,Tabii
deviner,Tahmin etmek
Bois,Tahta
Ensemble,Takım
Suivre,Takip etmek
Affixe,Takmak
Versement,Taksit
Demande,Talep
Complet,Tam
D'accord,Tamam
Réparation,Tamir etmek
Unité,Tane
Reconnaître,Tanımak
Rencontrer,Tanışmak
Côté,Taraf
Histoire,Tarih
Se disputer,Tartışmak
Style,Tarz
Pierre,Taş
Porter,Taşımak
Vacances,Tatil
sucré,Tatlı
Plafond,Tavan
Lapin,Tavşan
Recommander,Tavsiye etmek
Frais,Taze
Féliciter,Tebrik etmek
Traitement,Tedavi
Danger,Tehlike
Seul,Tek
Technique,Teknik
Technologie,Teknoloji
De nouveau,Tekrar
Téléphone fixe,Telefon
Télévision,Televizyon
Fainéant,Tembel
Base,Temel
Propre,Temiz
Dégager,Temizlemek
Juillet,Temmuz
Pot,Tencere
Haut,Tepe
Réaction,Tepki
Plateau,Tepsi
Transpiration,Ter
Préférer,Tercih etmek
Pantoufle,Terlik
Opposé,Ters
Tata,Teyze
Médicament,Tip
Balle,Top
Le total,Toplam
Collecter,Toplamak
Réunion,Toplantı
Société,Toplum
Sol,Toprak
Poussière,Toz
Circulation,Trafik
Former,Tren
Tous,Tüm
Gentil,Tür
turc,Türkçe
Orange,Turuncu
Donjon,Tutmak
Toilette,Tuvalet
Sel,Tuz
Voler,Uç
Trois,Üç
Avion,Uçak
Voler,Uçmak
Frais,Ücret
Troisième,Üçüncü
Bon marché,Ucuz
Petit,Ufak
S'efforcer,Uğraşmak
Atteindre,Ulaşmak
Pays,Ülke
International,Uluslararası
Attendre,Ummak
Université,Üniversite
Célèbre,Ünlü
Oublier,Unutmak
Produit,Ürün
Expert,Usta
Se sentir froid,Üşümek
Avoir honte,Utanmak
Éveillé,Uyanık
Membre,Üye
Postuler,Uygulamak
Qui convient,Uygun
Pour,Uymak
Dormir,Uyumak
Loin,Uzak
Se coucher,Uzanmak
Pour allonger,Uzatmak
Triste,Üzgün
Expert,Uzman
Raisin,Üzüm
Longue,Uzun
Temps,Vakit
Arriver,Varmak
Citoyenne,Vatandaş
Abandonner,Vazgeçmek
Et,Ve
Impôt,Vergi
Donner,Vermek
Ou alors,Veya
Corps,Vücut
Succès,Vurmak
toilettes,WC
Ou alors,Ya da
Étranger,Yabancı
Pétrole,Yağ
Pluie,Yağmur
Capturer,Yakalamak
À proximité,Yakın
Environ,Yaklaşık
Approcher,Yaklaşmak
Brûler,Yakmak
Seule,Yalnız
bien,Yani
Réponse,Yanıt
Faux,Yanlış
Brûler,Yanmak
La structure,Yapı
Faire,Yapmak
Feuille,Yaprak
Blessure,Yara
Créer,Yaratmak
Aider,Yardım etmek
Mon amour,Yarım
Âge,Yaş
Habitent,Yasa
Vie,Yaşam
Vivre,Yaşamak
Vieille,Yaşlı
Lit,Yatak
Se coucher,Yatmak
Lent,Yavaş
Répandu,Yaygın
L'été,Yaz
Écrivain,Yazar
Écrire,Yazmak
De rechange,Yedek
Sept,Yedi
nourriture,Yemek
Nouveau,Yeni
Endroit,Yer
Vert,Yeşil
Talent,Yetenek
Suffisant,Yeterli
Soixante-dix,Yetmiş
Année,Yıl
Serpent,Yılan
Star,Yıldız
Toujours,Yine
Vingt,Yirmi
Nourriture,Yiyecek
Occupé,Yoğun
Yaourt,Yoğurt
Ou alors,Yoksa
Chemin,Yol
Direction,Yön
Exécutif,Yönetici
Pour gérer,Yönetmek
Méthode,Yöntem
Fatigue,Yorulmak
Commenter,Yorum
Haute,Yüksek
Œuf,Yumurta
Doux,Yumuşak
À l'étranger,Yurt dışı
Domestique,Yurtiçi
Marcher,Yürümek
Rond,Yuvarlak
Affronter,Yüz
Pourcentage,Yüzde
Siècle,Yüzyıl
La victoire,Zafer
Temps,Zaman
Dommage,Zarar
Enveloppe,Zarf
en tous cas,Zaten
Faible,Zayıf
Poison,Zehir
Intelligent,Zeki
Terrain,Zemin
Riche,Zengin
Plaisir,Zevk
olive,Zeytin
Cloche,Zil
Difficile,Zor